appointmentId,clientId,role,serviceProviderId,subject
57,052957237,appointmentsDentist,468254910,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""יישור שיניים""]"
58,146544828,appointmentsHairDresser,958442098,"[""גוונים"", ""תספורת"", ""החלקה"", ""פן""]"
59,871964309,appointmentsDentist,563111540,"[""טיפול שורש"", ""עקירה"", ""יישור שיניים"", ""שיננית""]"
60,555198868,appointmentsDentist,419271646,"[""טיפול שורש"", ""ניקוי"", ""עקירה"", ""שיננית""]"
61,364111822,appointmentsDentist,493121602,"[""שיננית"", ""טיפול שורש"", ""ניקוי"", ""עקירה""]"
62,736476867,appointmentsHairDresser,082532921,"[""פן"", ""גוונים"", ""החלקה"", ""צבע""]"
63,721055717,appointmentsHairDresser,317534242,"[""צבע"", ""החלקה"", ""תספורת"", ""פן""]"
64,439415245,appointmentsHairDresser,082532921,"[""פן"", ""גוונים"", ""החלקה"", ""צבע""]"
65,394761269,appointmentsHairDresser,770496987,"[""גוונים"", ""תספורת"", ""צבע"", ""פן""]"
66,510454169,appointmentsDentist,423866375,"[""עקירה"", ""שיננית"", ""ניקוי"", ""יישור שיניים""]"
67,583795824,appointmentsHairDresser,815818301,"[""גוונים"", ""החלקה"", ""תספורת"", ""פן""]"
68,656679288,appointmentsHairDresser,815818301,"[""גוונים"", ""החלקה"", ""תספורת"", ""פן""]"
69,062351869,appointmentsDentist,443945705,"[""עקירה"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
70,734445293,appointmentsHairDresser,440077642,"[""החלקה"", ""פן"", ""גוונים"", ""צבע""]"
71,422771209,appointmentsDentist,708668747,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""עקירה""]"
72,443808602,appointmentsDentist,002675952,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""עקירה""]"
73,134892183,appointmentsHairDresser,440077642,"[""החלקה"", ""פן"", ""גוונים"", ""צבע""]"
74,456815142,appointmentsHairDresser,225106556,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]"
75,802174985,appointmentsHairDresser,255896305,"[""צבע"", ""גוונים"", ""פן"", ""החלקה""]"
76,608266886,appointmentsDentist,516186140,"[""יישור שיניים"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
77,434167499,appointmentsDentist,673008391,"[""עקירה"", ""ניקוי"", ""שיננית"", ""טיפול שורש""]"
78,679410047,appointmentsDentist,053594577,"[""עקירה"", ""ניקוי"", ""יישור שיניים"", ""טיפול שורש""]"
79,863966014,appointmentsHairDresser,706567925,"[""תספורת"", ""גוונים"", ""פן"", ""צבע""]"
80,443945705,appointmentsDentist,144600433,"[""יישור שיניים"", ""ניקוי"", ""שיננית"", ""עקירה""]"
81,099893469,appointmentsHairDresser,265020582,"[""תספורת"", ""צבע"", ""פן"", ""גוונים""]"
82,264810214,appointmentsHairDresser,277894686,"[""צבע"", ""תספורת"", ""גוונים"", ""החלקה""]"
83,540596484,appointmentsDentist,187206917,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
84,942485691,appointmentsHairDresser,117402902,"[""פן"", ""צבע"", ""תספורת"", ""החלקה""]"
85,110597906,appointmentsHairDresser,180429765,"[""החלקה"", ""גוונים"", ""צבע"", ""פן""]"
86,933079674,appointmentsDentist,361017902,"[""יישור שיניים"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]"
87,348390911,appointmentsDentist,443945705,"[""עקירה"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
88,925676383,appointmentsDentist,708668747,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""עקירה""]"
89,049810378,appointmentsDentist,493121602,"[""שיננית"", ""טיפול שורש"", ""ניקוי"", ""עקירה""]"
90,326418860,appointmentsHairDresser,231885469,"[""תספורת"", ""פן"", ""החלקה"", ""צבע""]"
91,584132402,appointmentsDentist,095793764,"[""ניקוי"", ""טיפול שורש"", ""יישור שיניים"", ""עקירה""]"
92,305771879,appointmentsHairDresser,117402902,"[""פן"", ""צבע"", ""תספורת"", ""החלקה""]"
93,261837029,appointmentsHairDresser,278702509,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
94,264792793,appointmentsDentist,925676383,"[""ניקוי"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
95,418471257,appointmentsDentist,505110252,"[""שיננית"", ""יישור שיניים"", ""טיפול שורש"", ""ניקוי""]"
96,251359195,appointmentsHairDresser,333832610,"[""פן"", ""גוונים"", ""החלקה"", ""תספורת""]"
97,982922623,appointmentsDentist,940754796,"[""יישור שיניים"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
98,949786219,appointmentsHairDresser,774350597,"[""פן"", ""תספורת"", ""גוונים"", ""החלקה""]"
99,605064573,appointmentsHairDresser,121806052,"[""פן"", ""צבע"", ""תספורת"", ""גוונים""]"
100,375645667,appointmentsHairDresser,452677408,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
101,753073939,appointmentsHairDresser,705570488,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
102,597790271,appointmentsDentist,473739707,"[""יישור שיניים"", ""ניקוי"", ""טיפול שורש"", ""עקירה""]"
103,335612899,appointmentsHairDresser,303017057,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
104,898191608,appointmentsDentist,053594577,"[""עקירה"", ""ניקוי"", ""יישור שיניים"", ""טיפול שורש""]"
105,605064573,appointmentsHairDresser,628893174,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
106,654074593,appointmentsHairDresser,136677787,"[""תספורת"", ""גוונים"", ""פן"", ""החלקה""]"
107,255605535,appointmentsHairDresser,516169863,"[""צבע"", ""פן"", ""תספורת"", ""החלקה""]"
108,487691880,appointmentsDentist,310950424,"[""ניקוי"", ""עקירה"", ""יישור שיניים"", ""טיפול שורש""]"
109,182620984,appointmentsHairDresser,706567925,"[""תספורת"", ""גוונים"", ""פן"", ""צבע""]"
110,863003871,appointmentsHairDresser,201737043,"[""צבע"", ""פן"", ""החלקה"", ""תספורת""]"
111,039523069,appointmentsHairDresser,500655545,"[""החלקה"", ""פן"", ""צבע"", ""גוונים""]"
112,373031318,appointmentsHairDresser,317534242,"[""צבע"", ""החלקה"", ""תספורת"", ""פן""]"
113,656002783,appointmentsHairDresser,677474238,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
114,815846429,appointmentsHairDresser,277894686,"[""צבע"", ""תספורת"", ""גוונים"", ""החלקה""]"
115,325622412,appointmentsDentist,767592302,"[""ניקוי"", ""טיפול שורש"", ""שיננית"", ""יישור שיניים""]"
116,625430991,appointmentsDentist,481482909,"[""יישור שיניים"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
117,293614497,appointmentsHairDresser,303017057,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
118,923032923,appointmentsDentist,180017380,"[""טיפול שורש"", ""ניקוי"", ""שיננית"", ""עקירה""]"
119,770265700,appointmentsDentist,471568025,"[""עקירה"", ""ניקוי"", ""טיפול שורש"", ""שיננית""]"
120,551593733,appointmentsDentist,419271646,"[""טיפול שורש"", ""ניקוי"", ""עקירה"", ""שיננית""]"
121,742256481,appointmentsHairDresser,525391059,"[""גוונים"", ""צבע"", ""החלקה"", ""פן""]"
122,438516472,appointmentsHairDresser,885126211,"[""פן"", ""גוונים"", ""תספורת"", ""צבע""]"
123,934444007,appointmentsHairDresser,514453573,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
124,102328800,appointmentsHairDresser,264810214,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
125,642466894,appointmentsDentist,724568381,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
126,640991861,appointmentsDentist,516186140,"[""יישור שיניים"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
127,505318184,appointmentsDentist,545825500,"[""עקירה"", ""טיפול שורש"", ""יישור שיניים"", ""שיננית""]"
128,871052623,appointmentsHairDresser,303017057,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
129,597790271,appointmentsHairDresser,677474238,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
130,966042854,appointmentsDentist,561933550,"[""טיפול שורש"", ""שיננית"", ""ניקוי"", ""עקירה""]"
131,243699951,appointmentsHairDresser,143327192,"[""גוונים"", ""החלקה"", ""תספורת"", ""פן""]"
132,678936616,appointmentsDentist,863966014,"[""ניקוי"", ""טיפול שורש"", ""עקירה"", ""שיננית""]"
133,818821746,appointmentsHairDresser,317534242,"[""צבע"", ""החלקה"", ""תספורת"", ""פן""]"
134,012981051,appointmentsDentist,724568381,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
135,205848263,appointmentsDentist,317173284,"[""שיננית"", ""עקירה"", ""יישור שיניים"", ""טיפול שורש""]"
136,600385201,appointmentsHairDresser,231885469,"[""תספורת"", ""פן"", ""החלקה"", ""צבע""]"
137,612055548,appointmentsDentist,952484274,"[""טיפול שורש"", ""יישור שיניים"", ""שיננית"", ""עקירה""]"
138,219247738,appointmentsHairDresser,861927188,"[""החלקה"", ""גוונים"", ""תספורת"", ""צבע""]"
139,375645667,appointmentsDentist,925676383,"[""ניקוי"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
140,611721739,appointmentsHairDresser,677474238,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
141,770794953,appointmentsDentist,818821746,"[""טיפול שורש"", ""ניקוי"", ""שיננית"", ""עקירה""]"
142,301155166,appointmentsDentist,468254910,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""יישור שיניים""]"
143,377340982,appointmentsHairDresser,984638008,"[""פן"", ""גוונים"", ""תספורת"", ""החלקה""]"
144,810828693,appointmentsDentist,468254910,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""יישור שיניים""]"
145,655802590,appointmentsDentist,033012701,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""יישור שיניים""]"
146,572553098,appointmentsDentist,397499061,"[""ניקוי"", ""יישור שיניים"", ""טיפול שורש"", ""שיננית""]"
147,266509197,appointmentsHairDresser,255896305,"[""צבע"", ""גוונים"", ""פן"", ""החלקה""]"
148,971739178,appointmentsDentist,013538751,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
149,952425516,appointmentsHairDresser,861927188,"[""החלקה"", ""גוונים"", ""תספורת"", ""צבע""]"
150,480047487,appointmentsHairDresser,994032568,"[""תספורת"", ""פן"", ""החלקה"", ""צבע""]"
151,648449677,appointmentsHairDresser,754100540,"[""תספורת"", ""פן"", ""צבע"", ""החלקה""]"
152,312572929,appointmentsHairDresser,330781628,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
153,681856736,appointmentsHairDresser,264810214,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
154,012981051,appointmentsDentist,561933550,"[""טיפול שורש"", ""שיננית"", ""ניקוי"", ""עקירה""]"
155,326031543,appointmentsDentist,341301511,"[""טיפול שורש"", ""עקירה"", ""שיננית"", ""יישור שיניים""]"
156,260511870,appointmentsHairDresser,980783596,"[""פן"", ""גוונים"", ""החלקה"", ""תספורת""]"
157,626225718,appointmentsHairDresser,087458946,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
158,562735726,appointmentsDentist,710906231,"[""יישור שיניים"", ""טיפול שורש"", ""שיננית"", ""ניקוי""]"
159,681735219,appointmentsDentist,940754796,"[""יישור שיניים"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
160,281904207,appointmentsHairDresser,311406006,"[""צבע"", ""החלקה"", ""פן"", ""תספורת""]"
161,011947902,appointmentsHairDresser,514453573,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
162,364111822,appointmentsHairDresser,966042854,"[""תספורת"", ""פן"", ""גוונים"", ""צבע""]"
163,262788041,appointmentsHairDresser,264810214,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
164,320664765,appointmentsHairDresser,143327192,"[""גוונים"", ""החלקה"", ""תספורת"", ""פן""]"
165,496718901,appointmentsHairDresser,664006767,"[""החלקה"", ""צבע"", ""פן"", ""תספורת""]"
166,984638008,appointmentsDentist,317173284,"[""שיננית"", ""עקירה"", ""יישור שיניים"", ""טיפול שורש""]"
167,176498699,appointmentsDentist,471568025,"[""עקירה"", ""ניקוי"", ""טיפול שורש"", ""שיננית""]"
168,243524998,appointmentsDentist,361017902,"[""יישור שיניים"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]"
169,383861881,appointmentsHairDresser,264810214,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]"
170,687500122,appointmentsHairDresser,402968085,"[""פן"", ""תספורת"", ""צבע"", ""גוונים""]"
171,728202745,appointmentsHairDresser,376475185,"[""צבע"", ""פן"", ""גוונים"", ""החלקה""]"
172,770057641,appointmentsHairDresser,358116332,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
173,734445293,appointmentsDentist,428811114,"[""יישור שיניים"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]"
174,585566509,appointmentsHairDresser,985364823,"[""גוונים"", ""פן"", ""החלקה"", ""צבע""]"
175,871052623,appointmentsHairDresser,440077642,"[""החלקה"", ""פן"", ""גוונים"", ""צבע""]"
176,951329068,appointmentsHairDresser,358116332,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
177,559630985,appointmentsDentist,925676383,"[""ניקוי"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
178,229081334,appointmentsDentist,175504767,"[""שיננית"", ""טיפול שורש"", ""יישור שיניים"", ""עקירה""]"
179,176498699,appointmentsDentist,516186140,"[""יישור שיניים"", ""עקירה"", ""שיננית"", ""טיפול שורש""]"
180,733017154,appointmentsHairDresser,278702509,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
181,273478449,appointmentsHairDresser,201737043,"[""צבע"", ""פן"", ""החלקה"", ""תספורת""]"
182,246129760,appointmentsDentist,329445822,"[""עקירה"", ""ניקוי"", ""טיפול שורש"", ""יישור שיניים""]"
183,767592302,appointmentsHairDresser,985364823,"[""גוונים"", ""פן"", ""החלקה"", ""צבע""]"
184,960766683,appointmentsHairDresser,500655545,"[""החלקה"", ""פן"", ""צבע"", ""גוונים""]"
185,133047101,appointmentsDentist,267008970,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]"
186,058454827,appointmentsHairDresser,966042854,"[""תספורת"", ""פן"", ""גוונים"", ""צבע""]"
187,253513340,appointmentsHairDresser,833651313,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
188,505318184,appointmentsHairDresser,861927188,"[""החלקה"", ""גוונים"", ""תספורת"", ""צבע""]"
189,897000613,appointmentsHairDresser,704023361,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]"
190,440095447,appointmentsDentist,505110252,"[""שיננית"", ""יישור שיניים"", ""טיפול שורש"", ""ניקוי""]"
191,635310198,appointmentsHairDresser,317534242,"[""צבע"", ""החלקה"", ""תספורת"", ""פן""]"
192,032943552,appointmentsHairDresser,082532921,"[""פן"", ""גוונים"", ""החלקה"", ""צבע""]"
193,695780763,appointmentsHairDresser,358116332,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
194,968728845,appointmentsDentist,468254910,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""יישור שיניים""]"
195,163045572,appointmentsHairDresser,255896305,"[""צבע"", ""גוונים"", ""פן"", ""החלקה""]"
196,842414799,appointmentsHairDresser,500655545,"[""החלקה"", ""פן"", ""צבע"", ""גוונים""]"
197,263875987,appointmentsDentist,724568381,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]"
198,867244889,appointmentsDentist,095793764,"[""ניקוי"", ""טיפול שורש"", ""יישור שיניים"", ""עקירה""]"
199,397499061,appointmentsHairDresser,510313897,"[""תספורת"", ""פן"", ""גוונים"", ""החלקה""]"
200,074040626,appointmentsDentist,544359761,"[""יישור שיניים"", ""טיפול שורש"", ""ניקוי"", ""שיננית""]"
201,339805031,appointmentsDentist,786587078,"[""טיפול שורש"", ""ניקוי"", ""יישור שיניים"", ""שיננית""]"
202,209853116,appointmentsHairDresser,265020582,"[""תספורת"", ""צבע"", ""פן"", ""גוונים""]"
203,299481825,appointmentsDentist,468254910,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""יישור שיניים""]"
204,754100540,appointmentsHairDresser,681378872,"[""פן"", ""החלקה"", ""צבע"", ""גוונים""]"
205,333543019,appointmentsDentist,650304743,"[""טיפול שורש"", ""ניקוי"", ""יישור שיניים"", ""עקירה""]"
206,420927123,appointmentsHairDresser,489675695,"[""פן"", ""תספורת"", ""גוונים"", ""החלקה""]"
207,770513428,appointmentsHairDresser,832513448,"[""פן"", ""צבע"", ""החלקה"", ""גוונים""]"
208,983895757,appointmentsDentist,423866375,"[""עקירה"", ""שיננית"", ""ניקוי"", ""יישור שיניים""]"
209,535879197,appointmentsDentist,667716327,"[""עקירה"", ""ניקוי"", ""שיננית"", ""טיפול שורש""]"
210,474505687,appointmentsHairDresser,225106556,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]"
211,898191608,appointmentsHairDresser,549963652,"[""החלקה"", ""גוונים"", ""צבע"", ""תספורת""]"
212,143327192,appointmentsHairDresser,464406990,"[""פן"", ""החלקה"", ""גוונים"", ""תספורת""]"
213,317005946,appointmentsHairDresser,483022715,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]"
214,422345289,appointmentsHairDresser,136677787,"[""תספורת"", ""גוונים"", ""פן"", ""החלקה""]"
215,381128097,appointmentsHairDresser,053824737,"[""תספורת"", ""גוונים"", ""צבע"", ""פן""]"
216,788547703,appointmentsHairDresser,330781628,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
217,143327192,appointmentsDentist,561933550,"[""טיפול שורש"", ""שיננית"", ""ניקוי"", ""עקירה""]"
218,049426216,appointmentsHairDresser,500655545,"[""החלקה"", ""פן"", ""צבע"", ""גוונים""]"
219,568462686,appointmentsHairDresser,201737043,"[""צבע"", ""פן"", ""החלקה"", ""תספורת""]"
220,446816871,appointmentsDentist,033012701,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""יישור שיניים""]"
221,456815142,appointmentsHairDresser,560321102,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]"
222,983148773,appointmentsHairDresser,278702509,"[""החלקה"", ""תספורת"", ""פן"", ""גוונים""]"
223,052957237,appointmentsDentist,229971094,"[""יישור שיניים"", ""ניקוי"", ""עקירה"", ""טיפול שורש""]"
224,042362945,appointmentsHairDresser,406660923,"[""גוונים"", ""תספורת"", ""צבע"", ""פן""]"
225,845902065,appointmentsHairDresser,452677408,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]"
226,392310933,appointmentsDentist,952484274,"[""טיפול שורש"", ""יישור שיניים"", ""שיננית"", ""עקירה""]"
227,721918870,appointmentsHairDresser,271635459,"[""פן"", ""תספורת"", ""צבע"", ""גוונים""]"
228,816846683,appointmentsHairDresser,053824737,"[""תספורת"", ""גוונים"", ""צבע"", ""פן""]"
229,385405751,appointmentsHairDresser,770496987,"[""גוונים"", ""תספורת"", ""צבע"", ""פן""]"
230,082000655,appointmentsHairDresser,376475185,"[""צבע"", ""פן"", ""גוונים"", ""החלקה""]"
231,595215287,appointmentsHairDresser,211127786,"[""גוונים"", ""צבע"", ""החלקה"", ""תספורת""]"
232,842414799,appointmentsHairDresser,143327192,"[""גוונים"", ""החלקה"", ""תספורת"", ""פן""]"
233,415386573,appointmentsHairDresser,678936616,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
234,868226320,appointmentsDentist,560176995,"[""שיננית"", ""טיפול שורש"", ""ניקוי"", ""יישור שיניים""]"
235,049426216,appointmentsHairDresser,678936616,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]"
236,161604557,appointmentsDentist,708668747,"[""טיפול שורש"", ""יישור שיניים"", ""ניקוי"", ""עקירה""]"
237,480047487,appointmentsHairDresser,431992650,"[""צבע"", ""תספורת"", ""החלקה"", ""פן""]"
238,295250257,appointmentsDentist,991392499,"[""יישור שיניים"", ""ניקוי"", ""שיננית"", ""עקירה""]"
239,142257709,appointmentsHairDresser,136677787,"[""תספורת"", ""גוונים"", ""פן"", ""החלקה""]"
240,116789418,appointmentsDentist,229971094,"[""יישור שיניים"", ""ניקוי"", ""עקירה"", ""טיפול שורש""]"
241,968162389,appointmentsHairDresser,358116332,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]"
242,386674212,appointmentsDentist,443108577,"[""עקירה"", ""טיפול שורש"", ""יישור שיניים"", ""שיננית""]"
243,362433871,appointmentsDentist,024897126,"[""טיפול שורש"", ""עקירה"", ""ניקוי"", ""יישור שיניים""]"
244,657101496,appointmentsHairDresser,279292347,"[""גוונים"", ""תספורת"", ""החלקה"", ""צבע""]"
245,629699704,appointmentsDentist,940754796,"[""יישור שיניים"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
246,278129156,appointmentsDentist,960766683,"[""ניקוי"", ""טיפול שורש"", ""יישור שיניים"", ""עקירה""]"
247,182620984,appointmentsHairDresser,338076575,"[""צבע"", ""תספורת"", ""פן"", ""גוונים""]"
248,002675952,appointmentsHairDresser,225106556,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]"
249,666106654,appointmentsDentist,187206917,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]"
