userId,categoryId
261837029,9
807951773,10
308024282,1
752508693,2
334073776,3
102328800,4
784832769,5
407427465,6
315671863,7
677075183,8
445245558,9
639004581,10
940975054,1
179779530,2
175504767,3
259780194,4
597779205,5
710906231,6
505110252,7
431601280,8
471568025,9
422345289,10
039523069,1
925676383,2
391593954,3
702645412,4
597754353,5
693039136,6
402968085,7
602760199,8
463884564,9
468254910,10
317534242,1
201950118,2
406660923,3
310950424,4
295250257,5
528822171,6
584103598,7
219247738,8
034998466,9
877526289,10
271635459,1
317744035,2
053824737,3
951329068,4
866318517,5
521438175,6
862341815,7
970991586,8
538068416,9
565083593,10
169657594,1
600244101,2
338076575,3
789147633,4
229971094,5
815818301,6
681378872,7
081399454,8
098986393,9
095527021,10
560243495,1
320664765,2
706617815,3
095793764,4
704023361,5
980783596,6
545825500,7
510313897,8
600699048,9
317173284,10
724568381,1
869476022,2
906075728,3
278129156,4
616349689,5
135985058,6
411114746,7
518443215,8
473739707,9
418978489,10
570964392,1
062351869,2
966042854,3
916665231,4
333832610,5
277894686,6
099740374,7
621775433,8
652416559,9
833651313,10
940754796,1
960766683,2
677474238,3
969915907,4
341301511,5
107448715,6
762427956,7
008194197,8
758372460,9
561933550,10
265020582,1
534258745,2
211127786,3
299481825,4
706567925,5
774350597,6
880071413,7
243524998,8
209853116,9
117402902,10
983895757,1
943776328,2
563111540,3
335612899,4
994032568,5
845902065,6
781457704,7
253513340,8
544359761,9
203895641,10
668291889,1
401712205,2
143327192,3
568462686,4
231122457,5
082532921,6
393791727,7
243143438,8
147601732,9
087406880,10
505792466,1
863003871,2
183750138,3
487990985,4
489675695,5
000425698,6
831799272,7
002675952,8
445092317,9
810828693,10
453497051,1
754100540,2
142257709,3
932759915,4
659736044,5
029917121,6
621225533,7
957538494,8
906715266,9
678936616,10
797515777,1
481482909,2
225106556,3
419271646,4
516169863,5
560176995,6
473653499,7
028905619,8
807666918,9
385405751,10
560321102,1
922733899,2
762340889,3
550283599,4
508967170,5
864699724,6
358040553,7
014005065,8
231268851,9
500655545,10
708668747,1
087458946,2
985364823,3
435786324,4
180017380,5
110597906,6
514453573,7
770496987,8
855524902,9
892435077,10
956368438,1
013538751,2
600385201,3
020686959,4
768225392,5
278702509,6
022825031,7
490638973,8
440095447,9
170877435,10
732501707,1
818821746,2
656002783,3
453560919,4
915997193,5
263819407,6
585935374,7
418110517,8
329445822,9
050094651,10
446132969,1
337248976,2
040910850,3
221235943,4
933148334,5
328670390,6
121806052,7
373364168,8
949786219,9
281570894,10
289828810,1
186495626,2
738608252,3
572119406,4
394761269,5
045223571,6
438985746,7
570314882,8
463984617,9
072165440,10
736476867,1
681107173,2
182620984,3
526681663,4
652847645,5
055867917,6
971739178,7
616020145,8
884065511,9
833659428,10
430351417,1
199430601,2
863787339,3
099893469,4
281912123,5
934444007,6
785728749,7
317005946,8
414963672,9
326418860,10
803115617,1
006308332,2
092376513,3
971059546,4
850745206,5
705337417,6
983148773,7
253261382,8
440494554,9
885731447,10
984407939,1
912136159,2
626225718,3
661663175,4
242360598,5
262788041,6
382814545,7
635743075,8
539415861,9
322768120,10
383978366,1
452805559,2
514701988,3
471046851,4
720326814,5
672498336,6
241059610,7
215628366,8
161197110,9
888194135,10
337618098,1
601108303,2
445304012,3
645061095,4
151368594,5
829003854,6
523736071,7
583795824,8
941527001,9
928134764,10
315826201,1
490493532,2
428275780,3
648449677,4
825094235,5
418732687,6
611721739,7
559630985,8
605184746,9
475719856,10
326031543,1
371403506,2
362433871,3
875584030,4
807861735,5
394715868,6
935485554,7
596771164,8
219104989,9
675122839,10
001496588,1
221799355,2
009181190,3
597060428,4
383549759,5
787813054,6
525837449,7
444543787,8
024874402,9
551215316,10
264792793,1
496956186,2
396493553,3
239607516,4
029677308,5
719070962,6
469723554,7
510454169,8
156016295,9
656679288,10
555198868,1
032943552,2
260511870,3
281741752,4
815846429,5
863983022,6
119885572,7
897714319,8
927362083,9
122379561,10
293614497,1
049810378,2
135834109,3
547623982,4
753073939,5
496718901,6
995483389,7
270066677,8
480047487,9
427671993,10
143978604,1
681097277,2
655802590,3
770532085,4
871964309,5
133047101,6
999809245,7
255573095,8
611371999,9
687500122,10
640991861,1
936664468,2
075717905,3
052957237,4
161604557,5
742256481,6
247883123,7
854922505,8
127128517,9
866267493,10
669491606,1
577934418,2
311472499,3
294866175,4
738423186,5
403790958,6
702624878,7
373389465,8
508823430,9
770265700,10
412542576,1
090505242,2
572553098,3
473322396,4
401263684,5
115962946,6
543512267,7
698811021,8
020106829,9
966784135,10
808252449,1
438516472,2
952425516,3
281904207,4
816846683,5
642382663,6
816690757,7
569922001,8
604985292,9
731064331,10
242556378,1
867244889,2
011947902,3
477660204,4
949570089,5
223814989,6
385735637,7
516879949,8
385877364,9
804629917,10
335141342,1
204873899,2
612055548,3
906174156,4
756621592,5
540596484,6
794508129,7
791085507,8
030838836,9
562735726,10
601725450,1
347735419,2
328426466,3
605064573,4
687039556,5
638601093,6
565772044,7
385816548,8
265879557,9
876755536,10
255605535,1
031734064,2
890469554,3
844993240,4
103747374,5
654664525,6
748164906,7
280424426,8
244003013,9
460295588,10
325040953,1
941232793,2
240389979,3
503333193,4
345844602,5
155001293,6
434413646,7
724473105,8
652445512,9
169413945,10
178210899,1
164387830,2
113022885,3
639833472,4
045221707,5
442637314,6
269102571,7
535879197,8
116114439,9
934024513,10
276448742,1
640443176,2
626392700,3
026950396,4
344340617,5
818415171,6
119110866,7
949773409,8
661170061,9
872622494,10
867651239,1
076356897,2
442240499,3
978793897,4
459367125,5
686396464,6
971925565,7
950106383,8
500221046,9
558329919,10
246129760,1
128658643,2
520670674,3
300937540,4
667404838,5
047891708,6
318805881,7
595215287,8
941758540,9
233021379,10
921263865,1
583314118,2
828606034,3
273478449,4
104869328,5
481511257,6
932145216,7
532051752,8
996961281,9
012981051,10
782376733,1
642466894,2
557849312,3
818471689,4
906382543,5
383861881,6
689084425,7
954602138,8
862761099,9
518613643,10
114646190,1
243699951,2
643943449,3
423203338,4
392310933,5
520395301,6
241213430,7
365772324,8
013637605,9
347983092,10
991561756,1
770794953,2
418471257,3
495158079,4
650789863,5
443808602,6
573645414,7
505318184,8
850302164,9
547573549,10
163045572,1
772620684,2
293479313,3
334493519,4
392733362,5
977542963,6
532860668,7
311713632,8
054281829,9
005384491,10
421942009,1
016505530,2
894017438,3
842038097,4
249635664,5
524235995,6
851420918,7
403255844,8
408212324,9
801892732,10
944185913,1
466822615,2
034873982,3
130526707,4
200065857,5
485174915,6
419977034,7
137659282,8
546610241,9
740872313,10
550140752,1
296817094,2
334252865,3
383567236,4
960352171,5
930789339,6
942485691,7
752158129,8
887004501,9
164598040,10
739582297,1
921285947,2
375645667,3
486821956,4
420927123,5
667111183,6
873224266,7
891476972,8
782988313,9
680643246,10
187612268,1
975003349,2
780520191,3
761193248,4
539281983,5
940313678,6
811132286,7
015371975,8
489422528,9
120109825,10
848402531,1
434167499,2
732247943,3
868226320,4
153607146,5
960212254,6
860676126,7
018161780,8
955247026,9
968728845,10
876892546,1
986275815,2
472682920,3
842414799,4
657210162,5
215922586,6
502953170,7
407793113,8
260454043,9
061409220,10
734200807,1
798645079,2
255198104,3
193778651,4
849506226,5
226601535,6
383880472,7
689099858,8
186815365,9
425516336,10
871052623,1
461377403,2
370949773,3
107896757,4
043084101,5
280017077,6
061713539,7
062395479,8
883412370,9
396197742,10
695780763,1
681735219,2
472647051,3
061180845,4
350708885,5
897761481,6
559358149,7
973966161,8
033161739,9
985913207,10
176498699,1
348390911,2
802174985,3
302611058,4
016066027,5
019254328,6
537409968,7
721508025,8
827804966,9
381833875,10
648208506,1
401973792,2
045126555,3
586023274,4
961836756,5
662107323,6
711565843,7
541487641,8
146544828,9
350652952,10
799114607,1
811432956,2
727186286,3
835983747,4
164985744,5
514718098,6
222071328,7
263875987,8
376213835,9
839240340,10
580624494,1
734445293,2
229081334,3
555725487,4
659177074,5
171588976,6
920915024,7
818639491,8
968595682,9
017114116,10
636934052,1
609366509,2
095431962,3
741290749,4
266509197,5
660323467,6
745072215,7
923032923,8
428326906,9
415386573,10
675627347,1
240390677,2
584464984,3
037788451,4
862910564,5
677776137,6
795764600,7
436291288,8
017752028,9
082000655,10
869253164,1
947650993,2
353856698,3
702815523,4
205848263,5
672719556,6
626125772,7
348197924,8
337529867,9
956744264,10
456380764,1
326501808,2
159169179,3
511527999,4
263518166,5
867123686,6
458016762,7
325622412,8
807617134,9
173275665,10
608465178,1
788547703,2
932000843,3
786639294,4
798486511,5
894037381,6
897708851,7
657101496,8
221753840,9
405866222,10
898191608,1
291876771,2
261554990,3
588384872,4
845643291,5
884787114,6
992089248,7
386674212,8
357444520,9
510291671,10
856685608,1
333543019,2
809664205,3
125438252,4
831273885,5
679410047,6
789632070,7
721918870,8
796126918,9
287756751,10
271429431,1
117319741,2
719146633,3
864899489,4
388351501,5
078900325,6
890969724,7
851899360,8
645705210,9
312572929,10
171253035,1
841922502,2
733017154,3
361490605,4
913383534,5
572508408,6
456815142,7
588180501,8
011482979,9
328877670,10
739046914,1
380540777,2
009423753,3
446816871,4
327225997,5
170125504,6
340125942,7
377340982,8
439415245,9
608266886,10
856413207,1
572540918,2
721055717,3
185891412,4
000824216,5
298049209,6
551662926,7
252545859,8
417446645,9
355129085,10
122915959,1
134892183,2
315770454,3
301155166,4
666106654,5
850760197,6
018760464,7
600158113,8
719379389,9
166638529,10
280843691,1
066263609,2
802232059,3
247956263,4
595177598,5
021530909,6
943555442,7
918808779,8
341658906,9
871301848,10
265071918,1
765888198,2
730217592,3
473682313,4
148787215,5
163376063,6
586160170,7
444712296,8
616314141,9
058188662,10
