serviceProviderId,role,userId,operationTime,phoneNumber,appointmentWayType,subjects,active
358907060,ChoresSecretary,358907060,[],0557359069,,,true
585209142,appointmentsDentist,585209142,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""1:51"",""endHour"":""22:20""},{""startHour"":""2:20"",""endHour"":""19:24""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""6:36"",""endHour"":""13:06""},{""startHour"":""1:39"",""endHour"":""15:18""}]}]",0557673290,,"[""יישור שיניים"", ""עקירה"", ""ניקוי"", ""טיפול שורש""]",true
912930258,AnnouncementsSecretary,912930258,[],0537553137,,,false
206733738,PhoneBookSecretary,206733738,[],0583070845,,,false
564722225,PhoneBookSecretary,564722225,[],0593355127,,,true
364111822,ChoresSecretary,364111822,[],0588427071,,,true
025497965,ChoresSecretary,025497965,[],0593453838,,,false
376475185,appointmentsHairDresser,376475185,"[{""day"":""Monday"",""hours"":[{""startHour"":""10:14"",""endHour"":""18:20""},{""startHour"":""6:31"",""endHour"":""22:20""}]},{""day"":""Tuesday"",""hours"":[{""startHour"":""3:13"",""endHour"":""22:36""},{""startHour"":""0:32"",""endHour"":""22:35""}]}]",0574468957,,"[""צבע"", ""פן"", ""גוונים"", ""החלקה""]",false
033012701,appointmentsDentist,033012701,"[{""day"":""Friday"",""hours"":[{""startHour"":""5:05"",""endHour"":""12:30""},{""startHour"":""5:04"",""endHour"":""19:36""}]}]",0510240740,Dialog,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""יישור שיניים""]",true
436759840,ChoresSecretary,436759840,[],0527736654,,,false
002070472,ChoresSecretary,002070472,[],0572721208,,,true
564223498,ChoresSecretary,564223498,[],0567409566,,,true
127040567,PhoneBookSecretary,127040567,[],0578974490,,,true
957285362,AnnouncementsSecretary,957285362,[],0551381682,,,false
933079674,ChoresSecretary,933079674,[],0548716074,,,true
620383703,AnnouncementsSecretary,620383703,[],0590556623,,,true
958442098,appointmentsHairDresser,958442098,"[{""day"":"""",""hours"":[{""startHour"":""0:30"",""endHour"":""23:34""},{""startHour"":""3:36"",""endHour"":""17:54""}]},{""day"":""Tuesday"",""hours"":[{""startHour"":""10:40"",""endHour"":""13:53""},{""startHour"":""2:33"",""endHour"":""16:26""}]}]",0532891880,,"[""גוונים"", ""תספורת"", ""החלקה"", ""פן""]",true
493121602,appointmentsDentist,493121602,"[{""day"":""Friday"",""hours"":[{""startHour"":""3:18"",""endHour"":""21:31""},{""startHour"":""9:07"",""endHour"":""19:30""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""3:15"",""endHour"":""14:20""},{""startHour"":""3:36"",""endHour"":""23:20""}]}]",0513132718,Slots,"[""שיננית"", ""טיפול שורש"", ""ניקוי"", ""עקירה""]",false
279292347,appointmentsHairDresser,279292347,"[{""day"":"""",""hours"":[{""startHour"":""8:16"",""endHour"":""13:36""},{""startHour"":""1:57"",""endHour"":""20:30""}]},{""day"":""Monday"",""hours"":[{""startHour"":""8:31"",""endHour"":""23:32""},{""startHour"":""7:27"",""endHour"":""21:30""}]}]",0538349442,,"[""גוונים"", ""תספורת"", ""החלקה"", ""צבע""]",true
464406990,appointmentsHairDresser,464406990,"[{""day"":""Thursday"",""hours"":[{""startHour"":""3:01"",""endHour"":""16:58""},{""startHour"":""2:15"",""endHour"":""16:54""}]},{""day"":""Friday"",""hours"":[{""startHour"":""11:37"",""endHour"":""19:24""},{""startHour"":""0:22"",""endHour"":""16:33""}]}]",0560965444,,"[""פן"", ""החלקה"", ""גוונים"", ""תספורת""]",true
773195647,ChoresSecretary,773195647,[],0510974302,,,true
173427430,AnnouncementsSecretary,173427430,[],0510497983,,,true
629699704,ChoresSecretary,629699704,[],0595471221,,,false
667716327,appointmentsDentist,667716327,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""11:18"",""endHour"":""18:48""},{""startHour"":""5:22"",""endHour"":""13:23""}]}]",0595128649,,"[""עקירה"", ""ניקוי"", ""שיננית"", ""טיפול שורש""]",false
605356455,ChoresSecretary,605356455,[],0528765297,,,true
654074593,AnnouncementsSecretary,654074593,[],0580709580,,,false
053594577,appointmentsDentist,053594577,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""0:15"",""endHour"":""20:00""},{""startHour"":""8:36"",""endHour"":""22:37""}]}]",0568582647,,"[""עקירה"", ""ניקוי"", ""יישור שיניים"", ""טיפול שורש""]",false
311406006,appointmentsHairDresser,311406006,"[{""day"":""Wednesday"",""hours"":[{""startHour"":""7:13"",""endHour"":""18:35""},{""startHour"":""9:46"",""endHour"":""19:43""}]}]",0525902679,,"[""צבע"", ""החלקה"", ""פן"", ""תספורת""]",false
468665062,PhoneBookSecretary,468665062,[],0525884083,,,false
166182181,AnnouncementsSecretary,166182181,[],0579152599,,,true
605944574,PhoneBookSecretary,605944574,[],0580724243,,,true
885126211,appointmentsHairDresser,885126211,"[{""day"":"""",""hours"":[{""startHour"":""10:03"",""endHour"":""15:29""},{""startHour"":""2:31"",""endHour"":""21:53""}]}]",0553494414,Fault,"[""פן"", ""גוונים"", ""תספורת"", ""צבע""]",true
483022715,appointmentsHairDresser,483022715,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""1:30"",""endHour"":""12:29""},{""startHour"":""0:53"",""endHour"":""17:00""}]}]",0553783034,Slots,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]",true
514448179,ChoresSecretary,514448179,[],0599793402,,,true
162631453,appointmentsHairDresser,162631453,"[{""day"":""Saturday"",""hours"":[{""startHour"":""2:47"",""endHour"":""21:55""},{""startHour"":""5:23"",""endHour"":""15:43""}]}]",0510082597,Fault,"[""תספורת"", ""גוונים"", ""החלקה"", ""צבע""]",true
428811114,appointmentsDentist,428811114,"[{""day"":""Sunday"",""hours"":[{""startHour"":""7:36"",""endHour"":""15:34""},{""startHour"":""1:19"",""endHour"":""21:50""}]},{""day"":""Wednesday"",""hours"":[{""startHour"":""1:47"",""endHour"":""17:27""},{""startHour"":""8:47"",""endHour"":""12:10""}]}]",0577803981,Dialog,"[""יישור שיניים"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]",true
497245534,ChoresSecretary,497245534,[],0515750177,,,true
100335463,appointmentsDentist,100335463,"[{""day"":""Wednesday"",""hours"":[{""startHour"":""3:53"",""endHour"":""16:37""},{""startHour"":""1:17"",""endHour"":""23:43""}]},{""day"":""Sunday"",""hours"":[{""startHour"":""7:58"",""endHour"":""14:25""},{""startHour"":""3:11"",""endHour"":""21:24""}]}]",0529801401,,"[""שיננית"", ""יישור שיניים"", ""עקירה"", ""טיפול שורש""]",true
373031318,PhoneBookSecretary,373031318,[],0541883044,,,false
668529305,ChoresSecretary,668529305,[],0541378319,,,true
215520373,ChoresSecretary,215520373,[],0565535977,,,true
795376926,appointmentsDentist,795376926,"[{""day"":""Sunday"",""hours"":[{""startHour"":""10:13"",""endHour"":""19:14""},{""startHour"":""6:01"",""endHour"":""18:36""}]},{""day"":""Sunday"",""hours"":[{""startHour"":""2:39"",""endHour"":""14:10""},{""startHour"":""4:27"",""endHour"":""16:17""}]}]",0521160005,,"[""טיפול שורש"", ""עקירה"", ""שיננית"", ""יישור שיניים""]",true
151173459,ChoresSecretary,151173459,[],0570083173,,,false
585566509,AnnouncementsSecretary,585566509,[],0579347951,,,false
009805535,AnnouncementsSecretary,009805535,[],0541663282,,,false
299523749,ChoresSecretary,299523749,[],0508528537,,,false
092445625,AnnouncementsSecretary,092445625,[],0531619164,,,false
825553521,appointmentsDentist,825553521,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""10:57"",""endHour"":""13:43""},{""startHour"":""4:27"",""endHour"":""22:35""}]},{""day"":""Wednesday"",""hours"":[{""startHour"":""11:36"",""endHour"":""19:32""},{""startHour"":""5:30"",""endHour"":""23:00""}]}]",0562624169,Fault,"[""עקירה"", ""טיפול שורש"", ""ניקוי"", ""יישור שיניים""]",true
305771879,PhoneBookSecretary,305771879,[],0555957056,,,true
236792183,AnnouncementsSecretary,236792183,[],0522345492,,,false
381128097,ChoresSecretary,381128097,[],0558594676,,,true
287167677,AnnouncementsSecretary,287167677,[],0587880660,,,false
293970060,ChoresSecretary,293970060,[],0517470520,,,true
720449741,ChoresSecretary,720449741,[],0554708983,,,true
990690836,PhoneBookSecretary,990690836,[],0587701632,,,true
158421571,ChoresSecretary,158421571,[],0573092832,,,true
103202140,AnnouncementsSecretary,103202140,[],0569267108,,,false
992272162,ChoresSecretary,992272162,[],0558776614,,,false
422771209,AnnouncementsSecretary,422771209,[],0573085726,,,true
987373472,ChoresSecretary,987373472,[],0599424440,,,false
828537513,PhoneBookSecretary,828537513,[],0522671100,,,false
656087802,AnnouncementsSecretary,656087802,[],0580466787,,,false
073372950,AnnouncementsSecretary,073372950,[],0535204797,,,false
838230603,ChoresSecretary,838230603,[],0516274759,,,false
351368627,AnnouncementsSecretary,351368627,[],0576604287,,,false
047616626,ChoresSecretary,047616626,[],0523546904,,,false
303017057,appointmentsHairDresser,303017057,"[{""day"":""Friday"",""hours"":[{""startHour"":""11:14"",""endHour"":""15:18""},{""startHour"":""0:06"",""endHour"":""12:12""}]},{""day"":""Tuesday"",""hours"":[{""startHour"":""3:43"",""endHour"":""15:16""},{""startHour"":""0:56"",""endHour"":""15:17""}]}]",0564115747,Fault,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]",false
635310198,AnnouncementsSecretary,635310198,[],0553416669,,,true
728202745,ChoresSecretary,728202745,[],0599509251,,,true
358116332,appointmentsHairDresser,358116332,"[{""day"":""Sunday"",""hours"":[{""startHour"":""1:57"",""endHour"":""13:06""},{""startHour"":""9:23"",""endHour"":""17:00""}]},{""day"":""Wednesday"",""hours"":[{""startHour"":""3:09"",""endHour"":""19:16""},{""startHour"":""8:56"",""endHour"":""21:35""}]}]",0541341679,Slots,"[""צבע"", ""החלקה"", ""גוונים"", ""תספורת""]",true
896433155,ChoresSecretary,896433155,[],0584200038,,,false
848519781,appointmentsHairDresser,848519781,"[{""day"":""Monday"",""hours"":[{""startHour"":""6:23"",""endHour"":""19:22""},{""startHour"":""5:31"",""endHour"":""20:08""}]}]",0527507867,Fault,"[""צבע"", ""גוונים"", ""תספורת"", ""החלקה""]",false
361017902,appointmentsDentist,361017902,"[{""day"":"""",""hours"":[{""startHour"":""11:32"",""endHour"":""15:50""},{""startHour"":""0:27"",""endHour"":""19:49""}]},{""day"":""Monday"",""hours"":[{""startHour"":""9:31"",""endHour"":""23:29""},{""startHour"":""4:34"",""endHour"":""17:24""}]}]",0504313751,Fault,"[""יישור שיניים"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]",false
440077642,appointmentsHairDresser,440077642,"[{""day"":""Saturday"",""hours"":[{""startHour"":""1:31"",""endHour"":""19:00""},{""startHour"":""2:11"",""endHour"":""16:51""}]}]",0529175933,,"[""החלקה"", ""פן"", ""גוונים"", ""צבע""]",true
024897126,appointmentsDentist,024897126,"[{""day"":""Thursday"",""hours"":[{""startHour"":""10:39"",""endHour"":""16:12""},{""startHour"":""2:35"",""endHour"":""17:34""}]}]",0549603226,,"[""טיפול שורש"", ""עקירה"", ""ניקוי"", ""יישור שיניים""]",true
122823229,ChoresSecretary,122823229,[],0527493444,,,true
064380420,appointmentsHairDresser,064380420,"[{""day"":""Friday"",""hours"":[{""startHour"":""7:30"",""endHour"":""13:59""},{""startHour"":""8:49"",""endHour"":""22:05""}]}]",0575535309,Fault,"[""גוונים"", ""פן"", ""החלקה"", ""תספורת""]",false
895147661,PhoneBookSecretary,895147661,[],0593569469,,,false
719286014,ChoresSecretary,719286014,[],0521714392,,,true
267008970,appointmentsDentist,267008970,"[{""day"":""Thursday"",""hours"":[{""startHour"":""8:17"",""endHour"":""17:41""},{""startHour"":""10:57"",""endHour"":""16:54""}]}]",0591156647,Fault,"[""שיננית"", ""טיפול שורש"", ""עקירה"", ""ניקוי""]",false
066775658,appointmentsDentist,066775658,"[{""day"":""Sunday"",""hours"":[{""startHour"":""4:52"",""endHour"":""20:03""},{""startHour"":""8:20"",""endHour"":""22:01""}]}]",0574841591,Slots,"[""טיפול שורש"", ""יישור שיניים"", ""עקירה"", ""שיננית""]",false
101761140,ChoresSecretary,101761140,[],0586365233,,,true
750669412,ChoresSecretary,750669412,[],0556682684,,,false
959533775,PhoneBookSecretary,959533775,[],0585639559,,,false
527851563,PhoneBookSecretary,527851563,[],0555565173,,,true
291438832,appointmentsHairDresser,291438832,"[{""day"":""Wednesday"",""hours"":[{""startHour"":""6:48"",""endHour"":""22:30""},{""startHour"":""3:47"",""endHour"":""22:33""}]}]",0590888323,,"[""החלקה"", ""גוונים"", ""צבע"", ""פן""]",false
681856736,appointmentsDentist,681856736,"[{""day"":""Thursday"",""hours"":[{""startHour"":""1:34"",""endHour"":""19:27""},{""startHour"":""4:52"",""endHour"":""13:54""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""7:49"",""endHour"":""12:27""},{""startHour"":""3:13"",""endHour"":""23:51""}]}]",0566164359,Fault,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""יישור שיניים""]",true
625430991,ChoresSecretary,625430991,[],0560928501,,,false
201737043,appointmentsHairDresser,201737043,"[{""day"":""Thursday"",""hours"":[{""startHour"":""3:54"",""endHour"":""16:03""},{""startHour"":""3:15"",""endHour"":""21:40""}]},{""day"":""Monday"",""hours"":[{""startHour"":""10:03"",""endHour"":""18:53""},{""startHour"":""8:46"",""endHour"":""23:28""}]}]",0568085203,,"[""צבע"", ""פן"", ""החלקה"", ""תספורת""]",false
984638008,appointmentsHairDresser,984638008,"[{""day"":""Thursday"",""hours"":[{""startHour"":""2:00"",""endHour"":""23:24""},{""startHour"":""4:01"",""endHour"":""14:23""}]},{""day"":""Wednesday"",""hours"":[{""startHour"":""1:03"",""endHour"":""21:49""},{""startHour"":""8:18"",""endHour"":""12:19""}]}]",0594626758,,"[""פן"", ""גוונים"", ""תספורת"", ""החלקה""]",false
306045192,AnnouncementsSecretary,306045192,[],0519061975,,,false
830295646,ChoresSecretary,830295646,[],0528550254,,,false
584132402,AnnouncementsSecretary,584132402,[],0511408801,,,true
770513428,ChoresSecretary,770513428,[],0514864275,,,false
487691880,PhoneBookSecretary,487691880,[],0563832779,,,true
255896305,appointmentsHairDresser,255896305,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""2:40"",""endHour"":""22:10""},{""startHour"":""4:32"",""endHour"":""20:14""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""11:20"",""endHour"":""21:04""},{""startHour"":""1:14"",""endHour"":""17:16""}]}]",0502781864,,"[""צבע"", ""גוונים"", ""פן"", ""החלקה""]",false
116789418,PhoneBookSecretary,116789418,[],0513174054,,,false
642158767,ChoresSecretary,642158767,[],0583056396,,,false
423866375,appointmentsDentist,423866375,"[{""day"":"""",""hours"":[{""startHour"":""1:28"",""endHour"":""19:23""},{""startHour"":""11:41"",""endHour"":""22:12""}]}]",0512812992,,"[""עקירה"", ""שיננית"", ""ניקוי"", ""יישור שיניים""]",false
791228935,PhoneBookSecretary,791228935,[],0534597460,,,true
474505687,ChoresSecretary,474505687,[],0548160472,,,false
269210025,ChoresSecretary,269210025,[],0550244675,,,false
597790271,PhoneBookSecretary,597790271,[],0503706304,,,false
770057641,appointmentsHairDresser,770057641,"[{""day"":""Thursday"",""hours"":[{""startHour"":""0:39"",""endHour"":""22:22""},{""startHour"":""3:55"",""endHour"":""22:03""}]}]",0502238897,Fault,"[""פן"", ""החלקה"", ""גוונים"", ""צבע""]",true
235775072,ChoresSecretary,235775072,[],0516053537,,,false
894594679,ChoresSecretary,894594679,[],0581967714,,,true
543709257,appointmentsHairDresser,543709257,"[{""day"":""Sunday"",""hours"":[{""startHour"":""9:10"",""endHour"":""15:41""},{""startHour"":""9:12"",""endHour"":""22:15""}]}]",0547154763,,"[""צבע"", ""תספורת"", ""החלקה"", ""גוונים""]",false
766019688,PhoneBookSecretary,766019688,[],0593353947,,,true
528291503,ChoresSecretary,528291503,[],0544264864,,,false
330781628,appointmentsHairDresser,330781628,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""11:39"",""endHour"":""14:57""},{""startHour"":""5:49"",""endHour"":""21:38""}]}]",0534311642,Fault,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]",true
443108577,appointmentsDentist,443108577,"[{""day"":""Monday"",""hours"":[{""startHour"":""11:25"",""endHour"":""15:20""},{""startHour"":""2:04"",""endHour"":""23:38""}]},{""day"":""Saturday"",""hours"":[{""startHour"":""11:44"",""endHour"":""22:37""},{""startHour"":""4:08"",""endHour"":""16:21""}]}]",0525603490,,"[""עקירה"", ""טיפול שורש"", ""יישור שיניים"", ""שיננית""]",true
823487662,AnnouncementsSecretary,823487662,[],0513297634,,,false
196756353,ChoresSecretary,196756353,[],0557488373,,,false
832513448,appointmentsHairDresser,832513448,"[{""day"":""Friday"",""hours"":[{""startHour"":""6:48"",""endHour"":""15:54""},{""startHour"":""4:59"",""endHour"":""17:32""}]},{""day"":""Wednesday"",""hours"":[{""startHour"":""2:01"",""endHour"":""19:55""},{""startHour"":""10:31"",""endHour"":""12:40""}]}]",0587786145,,"[""פן"", ""צבע"", ""החלקה"", ""גוונים""]",true
074040626,ChoresSecretary,074040626,[],0566574989,,,true
968162389,AnnouncementsSecretary,968162389,[],0545953021,,,true
136677787,appointmentsHairDresser,136677787,"[{""day"":""Saturday"",""hours"":[{""startHour"":""6:33"",""endHour"":""20:00""},{""startHour"":""11:19"",""endHour"":""21:48""}]}]",0598961885,Dialog,"[""תספורת"", ""גוונים"", ""פן"", ""החלקה""]",false
284856317,ChoresSecretary,284856317,[],0569945128,,,true
897000613,PhoneBookSecretary,897000613,[],0567772873,,,false
786587078,appointmentsDentist,786587078,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""0:36"",""endHour"":""20:06""},{""startHour"":""7:15"",""endHour"":""19:21""}]},{""day"":""Friday"",""hours"":[{""startHour"":""4:32"",""endHour"":""21:26""},{""startHour"":""4:42"",""endHour"":""23:11""}]}]",0557378838,Dialog,"[""טיפול שורש"", ""ניקוי"", ""יישור שיניים"", ""שיננית""]",false
347348111,PhoneBookSecretary,347348111,[],0528369665,,,true
781218030,appointmentsDentist,781218030,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""2:57"",""endHour"":""23:35""},{""startHour"":""5:16"",""endHour"":""22:25""}]},{""day"":"""",""hours"":[{""startHour"":""11:20"",""endHour"":""18:48""},{""startHour"":""7:47"",""endHour"":""12:33""}]}]",0508105845,Slots,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]",true
425307349,appointmentsHairDresser,425307349,"[{""day"":""Wednesday"",""hours"":[{""startHour"":""8:22"",""endHour"":""23:47""},{""startHour"":""10:21"",""endHour"":""21:42""}]}]",0552964994,Fault,"[""צבע"", ""פן"", ""גוונים"", ""תספורת""]",false
221242652,AnnouncementsSecretary,221242652,[],0555830548,,,true
194536467,AnnouncementsSecretary,194536467,[],0561862960,,,false
057915835,AnnouncementsSecretary,057915835,[],0532051984,,,false
144256871,AnnouncementsSecretary,144256871,[],0579055924,,,false
251359195,PhoneBookSecretary,251359195,[],0520846363,,,false
397499061,appointmentsDentist,397499061,"[{""day"":"""",""hours"":[{""startHour"":""8:28"",""endHour"":""23:08""},{""startHour"":""11:32"",""endHour"":""16:23""}]},{""day"":""Tuesday"",""hours"":[{""startHour"":""6:51"",""endHour"":""13:09""},{""startHour"":""3:01"",""endHour"":""18:35""}]}]",0567055453,,"[""ניקוי"", ""יישור שיניים"", ""טיפול שורש"", ""שיננית""]",false
760924784,ChoresSecretary,760924784,[],0508021446,,,true
180429765,appointmentsHairDresser,180429765,"[{""day"":""Friday"",""hours"":[{""startHour"":""4:52"",""endHour"":""18:20""},{""startHour"":""2:22"",""endHour"":""15:24""}]}]",0599419171,,"[""החלקה"", ""גוונים"", ""צבע"", ""פן""]",false
037752878,appointmentsDentist,037752878,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""2:37"",""endHour"":""19:37""},{""startHour"":""4:17"",""endHour"":""15:02""}]},{""day"":""Friday"",""hours"":[{""startHour"":""10:33"",""endHour"":""13:17""},{""startHour"":""7:19"",""endHour"":""19:43""}]}]",0590250493,Slots,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]",false
576713925,AnnouncementsSecretary,576713925,[],0515909596,,,true
687802825,PhoneBookSecretary,687802825,[],0558864779,,,true
590552161,appointmentsHairDresser,590552161,"[{""day"":""Thursday"",""hours"":[{""startHour"":""2:21"",""endHour"":""13:46""},{""startHour"":""4:26"",""endHour"":""18:02""}]},{""day"":""Friday"",""hours"":[{""startHour"":""7:57"",""endHour"":""17:43""},{""startHour"":""7:12"",""endHour"":""17:16""}]}]",0583049698,Fault,"[""החלקה"", ""צבע"", ""תספורת"", ""פן""]",false
339805031,AnnouncementsSecretary,339805031,[],0551092992,,,false
664006767,appointmentsHairDresser,664006767,"[{""day"":"""",""hours"":[{""startHour"":""4:17"",""endHour"":""19:06""},{""startHour"":""4:02"",""endHour"":""18:54""}]}]",0542244716,,"[""החלקה"", ""צבע"", ""פן"", ""תספורת""]",true
100229800,ChoresSecretary,100229800,[],0572951047,,,true
982922623,ChoresSecretary,982922623,[],0550522470,,,false
452677408,appointmentsHairDresser,452677408,"[{""day"":""Friday"",""hours"":[{""startHour"":""10:00"",""endHour"":""16:00""},{""startHour"":""2:26"",""endHour"":""23:41""}]},{""day"":""Monday"",""hours"":[{""startHour"":""5:44"",""endHour"":""13:51""},{""startHour"":""7:12"",""endHour"":""21:21""}]}]",0589829875,,"[""החלקה"", ""גוונים"", ""פן"", ""צבע""]",true
187206917,appointmentsDentist,187206917,"[{""day"":""Tuesday"",""hours"":[{""startHour"":""0:01"",""endHour"":""18:38""},{""startHour"":""5:46"",""endHour"":""16:07""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""8:39"",""endHour"":""17:58""},{""startHour"":""5:06"",""endHour"":""14:04""}]}]",0591626742,,"[""ניקוי"", ""שיננית"", ""טיפול שורש"", ""עקירה""]",true
129382077,PhoneBookSecretary,129382077,[],0529042336,,,false
850224962,appointmentsHairDresser,850224962,"[{""day"":""Saturday"",""hours"":[{""startHour"":""2:46"",""endHour"":""22:04""},{""startHour"":""1:15"",""endHour"":""20:27""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""8:05"",""endHour"":""23:15""},{""startHour"":""1:19"",""endHour"":""15:11""}]}]",0587511929,,"[""החלקה"", ""גוונים"", ""תספורת"", ""צבע""]",false
628893174,appointmentsHairDresser,628893174,"[{""day"":""Sunday"",""hours"":[{""startHour"":""10:00"",""endHour"":""22:58""},{""startHour"":""7:55"",""endHour"":""15:11""}]},{""day"":""Sunday"",""hours"":[{""startHour"":""6:21"",""endHour"":""20:42""},{""startHour"":""1:02"",""endHour"":""17:29""}]}]",0588990222,Fault,"[""החלקה"", ""תספורת"", ""פן"", ""צבע""]",false
049426216,ChoresSecretary,049426216,[],0566495654,,,false
525391059,appointmentsHairDresser,525391059,"[{""day"":""Thursday"",""hours"":[{""startHour"":""8:32"",""endHour"":""23:36""},{""startHour"":""3:57"",""endHour"":""15:04""}]},{""day"":""Thursday"",""hours"":[{""startHour"":""4:54"",""endHour"":""21:12""},{""startHour"":""11:47"",""endHour"":""20:25""}]}]",0580166228,Dialog,"[""גוונים"", ""צבע"", ""החלקה"", ""פן""]",false
042362945,ChoresSecretary,042362945,[],0556909180,,,false
201720951,PhoneBookSecretary,201720951,[],0593797228,,,true
485344529,AnnouncementsSecretary,485344529,[],0539962849,,,false
264810214,appointmentsHairDresser,264810214,"[{""day"":""Sunday"",""hours"":[{""startHour"":""11:56"",""endHour"":""16:32""},{""startHour"":""11:20"",""endHour"":""13:30""}]},{""day"":""Saturday"",""hours"":[{""startHour"":""11:02"",""endHour"":""22:30""},{""startHour"":""4:53"",""endHour"":""13:16""}]}]",0500660712,Dialog,"[""החלקה"", ""צבע"", ""תספורת"", ""גוונים""]",true
991392499,appointmentsDentist,991392499,"[{""day"":""Sunday"",""hours"":[{""startHour"":""9:23"",""endHour"":""20:47""},{""startHour"":""5:35"",""endHour"":""15:38""}]},{""day"":"""",""hours"":[{""startHour"":""9:16"",""endHour"":""15:02""},{""startHour"":""6:59"",""endHour"":""17:09""}]}]",0595811317,,"[""יישור שיניים"", ""ניקוי"", ""שיננית"", ""עקירה""]",false
867141023,PhoneBookSecretary,867141023,[],0526085303,,,true
685289270,ChoresSecretary,685289270,[],0585768664,,,false
800308426,PhoneBookSecretary,800308426,[],0567318469,,,true
789804557,PhoneBookSecretary,789804557,[],0503139319,,,true
617845920,AnnouncementsSecretary,617845920,[],0565429848,,,false
551593733,ChoresSecretary,551593733,[],0544245994,,,false
196743930,AnnouncementsSecretary,196743930,[],0500813649,,,false
443945705,appointmentsDentist,443945705,"[{""day"":""Monday"",""hours"":[{""startHour"":""8:06"",""endHour"":""13:05""},{""startHour"":""0:34"",""endHour"":""17:41""}]},{""day"":""Sunday"",""hours"":[{""startHour"":""11:17"",""endHour"":""19:48""},{""startHour"":""6:10"",""endHour"":""20:51""}]}]",0560456927,,"[""עקירה"", ""יישור שיניים"", ""ניקוי"", ""שיננית""]",false
